Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc
1,0.7892653725895227,0.6666666666666666,0.5646604262207138,0.7864225781845919
2,0.31901960590389933,0.8860294117647058,0.3229295371780861,0.8733790999237223
3,0.2080421889258199,0.9259453781512605,0.1585875113290812,0.9466056445461479
4,0.17338593815471612,0.9396008403361344,0.09841998051752533,0.9664378337147216
5,0.14570622297567354,0.9530812324929971,0.13361386060117994,0.9557589626239512
6,0.13081169310769364,0.9551820728291317,0.060995249577792975,0.9839816933638444
7,0.09516112034989088,0.9658613445378151,0.07357644894700938,0.9740655987795576
8,0.07686173284220241,0.9758403361344538,0.06250764594699627,0.9816933638443935
9,0.10953455237790431,0.9653361344537815,0.20604236467445197,0.9267734553775744
10,0.09141478215798172,0.969187675070028,0.07137771961520746,0.9778794813119756
11,0.06819088569077916,0.9782913165266106,0.033283153968322585,0.9908466819221968
12,0.07633823708367615,0.9751400560224089,0.04953195482845334,0.9862700228832952
13,0.051720429705234154,0.9824929971988795,0.04686764818039907,0.988558352402746
14,0.05477979406241604,0.9830182072829131,0.08950183404334107,0.9710144927536232
15,0.0677340438831415,0.9765406162464986,0.10168460696245864,0.9664378337147216
16,0.06735423265458071,0.9800420168067226,0.0695791183150367,0.9755911517925248
